code,subpart,topic,ccar23_article,ccar23_page,ccar23_title,ccar27_article,ccar27_page,ccar27_title,ccar25_29_note,umr_article,umr_page,umr_title,upl_article,upl_page,upl_title,diff_type,observation,aec_article,aec_page,aec_title,peu_article,peu_page,peu_title,hy_article,hy_page,hy_title
2000,A,适用范围及定义,23.2000,7,适用范围及定义,,,,,UMR.2000,14,适用范围及定义,UPL.2000,14,适用范围及定义,相同,,AEC.2000,7,适用范围和定义,PEU.A000,8,适用范围和定义,HY.2,12,适用范围
2001,H,施行,,,,27.2001,198,施行,,,,,,,,整章删除,,,,,,,,,,
2005,A 总　　则,正常类飞机审定,23.2005,7,正常类飞机审定,,,,,,,,,,,整章删除,,AEC.2005,7,无人驾驶航空器,,,,,,
2010,A,可接受的符合性方法,23.2010,8,可接受的符合性方法,,,,,UMR.2010,15,可接受的符合性方法,UPL.2010,15,可接受的符合性方法,相同,,AEC.2010,7,可接受的符合性方法,PEU.A010,8,可接受的符合性方法,,,
2100,B,重量和重心,23.2100,9,重量和重心,,,,,UMR.2100,15,重量和重心,UPL.2100,15,重量和重心,相同,,AEC.2100,9,重量和重心,PEU.B000,9,重量和重心,,,
2105,B,性能数据,23.2105,9,性能数据,,,,,UMR.2105,16,性能数据,UPL.2105,16,性能数据,相同,,AEC.2105,9,性能数据,PEU.B005,9,性能数据,,,
2110,B,飞行剖面,23.2110,10,失速速度,,,,,UMR.2110,16,飞行剖面,UPL.2110,16,最小安全速度,方式转换,,AEC.2110,9,最小安全速度,,,,,,
2115,B,起飞性能,23.2115,10,起飞性能,,,,,UMR.2115,16,起飞性能,UPL.2115,17,起飞性能,相同,,AEC.2115,9,起飞,,,,HY.53,16,起飞性能
2116,B,飞行形态转换要求,,,,,,,,,,,UPL.2116,17,飞行形态转换要求,新增,,,,,,,,,,
2120,B,爬升要求,23.2120,11,爬升要求,,,,,UMR.2120,17,爬升要求,UPL.2120,18,爬升要求,相同,,AEC.2120,10,爬升,,,,,,
2125,B,爬升性能数据,23.2125,12,爬升性能数据,,,,,UMR.2125,17,爬升性能数据,UPL.2125,18,爬升性能数据,相同,,AEC.2125,10,悬停,,,,,,
2130,B,着陆,23.2130,12,着陆,,,,,UMR.2130,17,着陆,UPL.2130,18,着陆,相同,,AEC.2130,10,转换飞行,PEU.B025,9,着陆,,,
2135,B,操纵性和机动性,23.2135,13,操纵性,,,,,UMR.2135,18,操纵性和机动性,UPL.2135,19,操纵性,方式转换,,AEC.2135,10,着陆,PEU.B030,10,操纵性和机动性,,,
2140,B 飞　　行,配平,23.2140,13,配平,,,,,,,,,,,整章删除,,AEC.2140,10,可控性,,,,HY.161,20,配平
2145,B,稳定性,23.2145,14,稳定性,,,,,UMR.2145,18,稳定性,UPL.2145,19,稳定性,相同,,AEC.2145,11,稳定性,PEU.B035,10,稳定性,,,
2150,B,最小安全速度飞行特性及警告,23.2150,14,失速特性、失速警告和尾旋,,,,,,,,UPL.2150,20,最小安全速度飞行特性及警告,方式转换,,AEC.2150,11,低速飞行特性和低速告警,,,,,,
2160,B,振动,23.2160,15,振动、抖振和高速特性,,,,,UMR.2160,19,振动,UPL.2160,20,振动、抖振和高速特性,方式转换,,,,,PEU.B045,10,振动,,,
2165,B,在结冰条件下飞行所要求的性能和飞行特性,23.2165,16,在结冰条件下飞行所要求的性能和飞行特性,,,,,UMR.2165,19,在结冰条件下飞行所要求的性能和飞行特性,UPL.2165,21,在结冰条件下飞行所要求的性能和飞行特性,相同,,,,,PEU.B050,10,结冰条件下飞行,,,
2200,C,结构设计包线,23.2200,18,结构设计包线,,,,,UMR.2200,19,结构设计包线,UPL.2200,21,结构设计包线,相同,,AEC.2200,12,结构设计包线,PEU.C000,11,结构设计包线,,,
2205,C,系统和结构的相互影响,23.2205,18,系统和结构的相互影响,,,,,UMR.2205,20,系统和结构的相互影响,UPL.2205,22,系统和结构的相互影响,相同,,AEC.2205,12,系统和结构的相互影响,PEU.C005,11,系统和结构的相互影响,,,
2210,C,结构设计载荷,23.2210,19,结构设计载荷,,,,,UMR.2210,20,结构设计载荷,UPL.2210,22,结构设计载荷,相同,,AEC.2210,12,结构设计载荷,PEU.C010,11,结构设计载荷,,,
2215,C,飞行载荷情况,23.2215,19,飞行载荷情况,,,,,UMR.2215,21,飞行载荷情况,UPL.2215,23,飞行载荷情况,相同,,AEC.2215,12,飞行载荷情况,PEU.C015,11,飞行载荷情况,,,
