standard,subpart,article,pdf_page,title_raw
CCAR-23,A 总　　则,23.2000,7,适用范围及定义
CCAR-23,A 总　　则,23.2005,7,正常类飞机审定
CCAR-23,A 总　　则,23.2010,8,可接受的符合性方法
CCAR-23,B 飞　　行,23.2100,9,重量和重心
CCAR-23,B 飞　　行,23.2105,9,性能数据
CCAR-23,B 飞　　行,23.2110,10,失速速度
CCAR-23,B 飞　　行,23.2115,10,起飞性能
CCAR-23,B 飞　　行,23.2120,11,爬升要求
CCAR-23,B 飞　　行,23.2125,12,爬升性能数据
CCAR-23,B 飞　　行,23.2130,12,着陆
CCAR-23,B 飞　　行,23.2135,13,操纵性
CCAR-23,B 飞　　行,23.2140,13,配平
CCAR-23,B 飞　　行,23.2145,14,稳定性
CCAR-23,B 飞　　行,23.2150,14,失速特性、失速警告和尾旋
CCAR-23,B 飞　　行,23.2160,15,振动、抖振和高速特性
CCAR-23,B 飞　　行,23.2165,16,在结冰条件下飞行所要求的性能和飞行特性
CCAR-23,C 结　　构,23.2200,18,结构设计包线
CCAR-23,C 结　　构,23.2205,18,系统和结构的相互影响
CCAR-23,C 结　　构,23.2210,19,结构设计载荷
CCAR-23,C 结　　构,23.2215,19,飞行载荷情况
CCAR-23,C 结　　构,23.2220,19,地面载荷和水载荷情况
CCAR-23,C 结　　构,23.2225,19,部件载荷情况
CCAR-23,C 结　　构,23.2230,20,限制和极限载荷
CCAR-23,C 结　　构,23.2235,21,结构强度
CCAR-23,C 结　　构,23.2240,21,结构耐久性
CCAR-23,C 结　　构,23.2245,22,气动弹性
CCAR-23,C 结　　构,23.2250,22,设计和构造原理
CCAR-23,C 结　　构,23.2255,23,结构保护
CCAR-23,C 结　　构,23.2260,23,材料和工艺
CCAR-23,C 结　　构,23.2265,24,特殊安全系数
CCAR-23,C 结　　构,23.2270,25,应急情况
CCAR-23,D 设计和构造,23.2300,27,飞行操纵系统
CCAR-23,D 设计和构造,23.2305,27,起落架系统
CCAR-23,D 设计和构造,23.2310,28,水上飞机和水陆两用飞机的浮力
CCAR-23,D 设计和构造,23.2315,28,撤离设施和应急出口
CCAR-23,D 设计和构造,23.2320,29,乘员物理环境
CCAR-23,D 设计和构造,23.2325,29,防火
CCAR-23,D 设计和构造,23.2330,31,指定火区和邻近区域的防火
CCAR-23,E 动力装置,23.2400,32,动力装置安装
CCAR-23,E 动力装置,23.2405,32,功率或者推力控制系
CCAR-23,E 动力装置,23.2410,33,动力装置安装危害性评估
CCAR-23,E 动力装置,23.2415,33,动力装置防冰
CCAR-23,E 动力装置,23.2420,34,反推力系统
CCAR-23,E 动力装置,23.2425,34,动力装置工作特性
CCAR-23,E 动力装置,23.2430,34,燃油系统
CCAR-23,E 动力装置,23.2435,36,动力装置进气和排气系统
CCAR-23,E 动力装置,23.2440,36,动力装置防火
CCAR-23,F 设　　备,23.2500,38,飞机级系统要求
CCAR-23,F 设　　备,23.2510,38,系统、设备和安装
CCAR-23,F 设　　备,23.2515,38,电子和电气系统闪电防护
CCAR-23,F 设　　备,23.2520,39,高强辐射场(HIRF)防护
CCAR-23,F 设　　备,23.2525,40,电源和配电系统
CCAR-23,F 设　　备,23.2530,40,外部和驾驶舱照明
CCAR-23,F 设　　备,23.2540,41,在结冰条件下飞行
CCAR-23,F 设　　备,23.2555,41,驾驶舱话音记录器
CCAR-23,F 设　　备,23.2560,45,飞行数据记录器
CCAR-23,G 飞行机组界面和其他信息,23.2600,48,飞行机组界面
CCAR-23,G 飞行机组界面和其他信息,23.2605,48,安装和使用
CCAR-23,G 飞行机组界面和其他信息,23.2610,49,仪表标记、操纵器件标记及标牌
CCAR-23,G 飞行机组界面和其他信息,23.2615,49,飞行、导航和动力装置仪表
CCAR-23,G 飞行机组界面和其他信息,23.2620,49,飞机飞行手册
CCAR-23,G 飞行机组界面和其他信息,23.2625,50,持续适航文件
CCAR-23,H 电动飞机动力装置补充要求,23.2700,51,电推进系统
CCAR-23,H 电动飞机动力装置补充要求,23.2705,51,电池和配电系统
CCAR-23,H 电动飞机动力装置补充要求,23.2710,52,电池和电动力系统防火
CCAR-23,I 附　　则,23.2800,53,施行
