standard,subpart,article,pdf_page,title_raw
CPL,A,CPL.2000,13,适用范围及定义
CPL,A,CPL.2005,14,动力提升航空器的审定
CPL,A,CPL.2010,14,可接受的符合性方法
CPL,B,CPL.2100,15,重量和重心
CPL,B,CPL.2105,15,性能数据
CPL,B,CPL.2110,16,最小安全速度
CPL,B,CPL.2115,16,起飞性能
CPL,B,CPL.2120,17,爬升要求
CPL,B,CPL.2125,17,爬升性能数据
CPL,B,CPL.2130,17,着陆
CPL,B,CPL.2135,18,操纵性和机动性
CPL,B,CPL.2140,19,操纵力和配平
CPL,B,CPL.2145,19,稳定性
CPL,B,CPL.2150,20,最小安全速度飞行特性及警告
CPL,B,CPL.2155,20,地面和水上操纵特性
CPL,B,CPL.2160,20,振动、抖振和高速特性
CPL,B,CPL.2165,21,在结冰条件下飞行所要求的性能和飞行特性
CPL,C,CPL.2200,22,结构设计包线
CPL,C,CPL.2205,23,系统和结构的相互影响
CPL,C,CPL.2210,23,结构设计载荷
CPL,C,CPL.2215,23,飞行载荷情况
CPL,C,CPL.2220,24,地面载荷和水载荷情况
CPL,C,CPL.2225,24,部件载荷情况
CPL,C,CPL.2230,25,限制和极限载荷
CPL,C,CPL.2235,25,结构强度
CPL,C,CPL.2240,25,结构耐久性
CPL,C,CPL.2241,26,气动机械稳定性
CPL,C,CPL.2245,26,气动弹性
CPL,C,CPL.2250,26,设计和构造原理
CPL,C,CPL.2255,27,结构保护
CPL,C,CPL.2260,27,材料和工艺
CPL,C,CPL.2265,28,特殊安全系数
CPL,C,CPL.2270,29,应急情况
CPL,D,CPL.2300,31,飞行操纵系统
CPL,D,CPL.2305,31,起落架系统
CPL,D,CPL.2310,32,漂浮
CPL,D,CPL.2311,33,鸟撞
CPL,D,CPL.2315,33,撤离设施和应急出口
CPL,D,CPL.2320,33,乘员物理环境
CPL,D,CPL.2325,34,防火
CPL,D,CPL.2330,35,火区和邻近区域的防火
CPL,D,CPL.2335,35,闪电和静电防护
CPL,E,CPL.2400,36,动力装置安装
CPL,E,CPL.2405,36,功率或者升力/推力控制系统
CPL,E,CPL.2410,37,动力装置安装危害性评估
CPL,E,CPL.2415,37,动力装置防冰
CPL,E,CPL.2425,37,动力装置工作特性
CPL,E,CPL.2430,38,动力电池和配电系统
CPL,E,CPL.2440,39,动力装置防火
CPL,F,CPL.2500,40,飞机级系统要求
CPL,F,CPL.2505,40,功能和安装
CPL,F,CPL.2510,40,系统、设备和安装
CPL,F,CPL.2515,40,电子和电气系统闪电防护
CPL,F,CPL.2517,41,电气线路互联系统
CPL,F,CPL.2520,41,高强辐射场防护
CPL,F,CPL.2525,42,电源和配电系统
CPL,F,CPL.2530,42,外部和驾驶舱照明
CPL,F,CPL.2535,43,安全设备
CPL,F,CPL.2540,43,在结冰条件下飞行
CPL,F,CPL.2550,43,含高能转子的设备
CPL,F,CPL.2555,43,飞行记录器的安装
CPL,G,CPL.2600,45,飞行机组界面
CPL,G,CPL.2605,45,安装和使用
CPL,G,CPL.2610,45,仪表标记、操纵器件标记及标牌
CPL,G,CPL.2615,46,飞行、导航和动力装置仪表
CPL,G,CPL.2620,46,航空器飞行手册
CPL,G,CPL.2625,47,持续适航文件
CPL,H,CPL.3300,48,概述
CPL,H,CPL.3304,48,持续适航文件
CPL,H,CPL.3305,48,电动发动机安装和使用说明手册
CPL,H,CPL.3307,50,电动发动机额定功率和使用限制
CPL,H,CPL.3308,50,电动发动机功率和扭矩额定值的选定
CPL,H,CPL.3315,51,材料
CPL,H,CPL.3317,51,防火
CPL,H,CPL.3375,52,(g)款(2)项所定义的危险的电动发动机后果。
CPL,H,CPL.3319,52,耐久性
CPL,H,CPL.3321,53,电动发动机冷却
CPL,H,CPL.3323,53,安装构件和结构
CPL,H,CPL.3325,53,附件连接装置
CPL,H,CPL.3326,54,电动发动机电气系统
CPL,H,CPL.3327,56,超速
CPL,H,CPL.3328,56,电动发动机控制系统
CPL,H,CPL.3329,59,仪表连接
CPL,H,CPL.3362,60,应力分析
CPL,H,CPL.3363,60,振动
CPL,H,CPL.3364,60,液体和气体系统
CPL,H,CPL.3370,61,关键件和限寿件
CPL,H,CPL.3371,63,润滑系统
CPL,H,CPL.3373,63,功率响应
CPL,H,CPL.3374,63,持续转动
CPL,H,CPL.3377,67,外物吸入
CPL,H,CPL.3383,67,振动演示
CPL,H,CPL.3384,68,超扭试验
CPL,H,CPL.3393,68,的要求。
CPL,H,CPL.3385,68,校准试验
CPL,H,CPL.3387,68,持久演示
CPL,H,CPL.3388,68,超温试验
CPL,H,CPL.3389,69,工作演示
CPL,H,CPL.3390,69,耐久演示
CPL,H,CPL.3391,69,系统和部件试验
CPL,H,CPL.3392,69,转子锁定演示
CPL,H,CPL.3394,70,包容性
CPL,H,CPL.3395,71,电动发动机-螺旋桨系统试验
CPL,H,CPL.3399,71,台架试验的一般实施
CPL,I,CPL.3501,72,概述
CPL,I,CPL.3503,72,螺旋桨安装和使用说明手册
CPL,I,CPL.3504,73,持续适航文件
CPL,I,CPL.3505,73,螺旋桨的额定值和使用限制
CPL,I,CPL.3507,73,特征和特性
CPL,I,CPL.3515,74,安全性分析
CPL,I,CPL.3516,76,螺旋桨关键件
CPL,I,CPL.3517,76,材料和制造方法
CPL,I,CPL.3519,77,耐久性
CPL,I,CPL.3521,77,可变距和可反桨螺旋桨
CPL,I,CPL.3522,77,可顺桨螺旋桨
CPL,I,CPL.3523,78,螺旋桨控制系统
CPL,I,CPL.3524,79,强度
CPL,I,CPL.3533,79,总则
CPL,I,CPL.3534,80,检查、调整和修理
CPL,I,CPL.3535,80,离心载荷试验
CPL,I,CPL.3536,81,鸟撞
CPL,I,CPL.3537,81,疲劳极限和评估
CPL,I,CPL.3538,82,闪电
CPL,I,CPL.3539,82,持久试验
CPL,I,CPL.3540,84,功能试验
CPL,I,CPL.3541,84,超转和超扭
CPL,I,CPL.3542,85,螺旋桨控制系统部件
CPL,附录,CPL.A1,86,一般规定
CPL,附录,CPL.A2,86,格式
CPL,附录,CPL.A3,86,内容
CPL,附录,CPL.A4,89,适航限制章节
