standard,subpart,article,pdf_page,title_raw
UMR,A,UMR.2000,14,适用范围及定义
UMR,A,UMR.2010,15,可接受的符合性方法
UMR,B,UMR.2100,15,重量和重心
UMR,B,UMR.2105,16,性能数据
UMR,B,UMR.2110,16,飞行剖面
UMR,B,UMR.2115,16,起飞性能
UMR,B,UMR.2120,17,爬升要求
UMR,B,UMR.2125,17,爬升性能数据
UMR,B,UMR.2130,17,着陆
UMR,B,UMR.2135,18,操纵性和机动性
UMR,B,UMR.2145,18,稳定性
UMR,B,UMR.2160,19,振动
UMR,B,UMR.2165,19,在结冰条件下飞行所要求的性能和飞行特性
UMR,C,UMR.2200,19,结构设计包线
UMR,C,UMR.2205,20,系统和结构的相互影响
UMR,C,UMR.2210,20,结构设计载荷
UMR,C,UMR.2215,21,飞行载荷情况
UMR,C,UMR.2220,21,地面载荷和水载荷情况
UMR,C,UMR.2225,21,部件载荷情况
UMR,C,UMR.2230,21,限制和极限载荷
UMR,C,UMR.2235,22,结构强度
UMR,C,UMR.2240,22,结构耐久性
UMR,C,UMR.2250,23,设计和构造原理
UMR,C,UMR.2255,23,结构保护
UMR,C,UMR.2260,24,材料和工艺
UMR,C,UMR.2265,24,特殊安全系数
UMR,C,UMR.2270,25,有效载荷舱
UMR,D,UMR.2300,26,飞行控制系统
UMR,D,UMR.2305,26,起落架系统
UMR,D,UMR.2306,27,伞降系统
UMR,D,UMR.2310,27,漂浮
UMR,D,UMR.2325,28,防火
UMR,D,UMR.2330,28,火区和邻近区域的防火
UMR,D,UMR.2335,29,闪电与静电防护
UMR,D,UMR.2340,29,外挂物
UMR,E,UMR.2400,29,动力装置安装
UMR,E,UMR.2405,30,功率或升力控制系统
UMR,E,UMR.2410,31,动力装置安装危害性评估
UMR,E,UMR.2415,31,动力装置防冰
UMR,E,UMR.2425,31,动力装置工作特性
UMR,E,UMR.2430,31,能量存储和分配系统
UMR,E,UMR.2435,33,进气和排气系统
UMR,E,UMR.2440,33,动力装置防火
UMR,F,UMR.2500,34,无人驾驶航空器系统要求
UMR,F,UMR.2510,34,系统、设备和安装
UMR,F,UMR.2515,34,电子和电气系统闪电防护
UMR,F,UMR.2520,35,高强辐射场(HIRF)防护
UMR,F,UMR.2525,36,电源和配电系统
UMR,F,UMR.2530,36,无人驾驶航空器灯光和照明
UMR,F,UMR.2540,37,在结冰条件下飞行
UMR,F,UMR.2555,37,飞行数据记录器
UMR,F,UMR.2565,38,无人驾驶航空器网络安保
UMR,F,UMR.2570,39,电子围栏
UMR,F,UMR.2580,39,探测与避让
UMR,G,UMR.2610,40,无人驾驶航空器系统的标记及标牌
UMR,G,UMR.2620,40,飞行手册
UMR,G,UMR.2625,41,持续适航文件
UMR,G,UMR.2635,41,运输、储存和组装
UMR,H,UMR.3304,42,持续适航文件
UMR,H,UMR.3305,42,电动发动机安装和使用说明手册
UMR,H,UMR.3307,44,电动发动机额定功率和使用限制
UMR,H,UMR.3308,45,电动发动机功率和扭矩额定值的选定
UMR,H,UMR.3315,45,材料
UMR,H,UMR.3317,45,防火
UMR,H,UMR.3319,46,耐久性
UMR,H,UMR.3321,47,电动发动机冷却
UMR,H,UMR.3323,47,安装构件和结构
UMR,H,UMR.3325,47,附件连接装置
UMR,H,UMR.3326,48,电动发动机电气系统
UMR,H,UMR.3327,50,超速
UMR,H,UMR.3328,50,电动发动机控制系统
UMR,H,UMR.3375,52,
UMR,H,UMR.3329,53,仪表连接
UMR,H,UMR.3362,54,应力分析
UMR,H,UMR.3363,54,振动
UMR,H,UMR.3364,55,液体和气体系统
UMR,H,UMR.3370,55,关键件与限寿件
UMR,H,UMR.3371,57,润滑系统
UMR,H,UMR.3373,57,功率响应
UMR,H,UMR.3374,58,持续转动
UMR,H,UMR.3389,60,"的可操作性要求,但功能能力略有下降"
UMR,H,UMR.3377,61,外物吸入
UMR,H,UMR.3383,62,振动演示
UMR,H,UMR.3384,62,超扭试验
UMR,H,UMR.3385,62,校准试验
UMR,H,UMR.3387,63,持久演示
UMR,H,UMR.3388,63,超温试验
UMR,H,UMR.3390,63,耐久演示
UMR,H,UMR.3391,64,系统和部件试验
UMR,H,UMR.3392,64,转子锁定演示
UMR,H,UMR.3393,64,分解检查
UMR,H,UMR.3394,65,包容性
UMR,H,UMR.3395,65,电动发动机-螺旋桨系统试验
UMR,H,UMR.3399,65,台架试验的一般实施
UMR,I,UMR.3501,66,概述
UMR,I,UMR.3503,67,螺旋桨安装和使用说明手册
UMR,I,UMR.3504,67,持续适航文件
UMR,I,UMR.3505,67,螺旋桨的额定值和使用限制
UMR,I,UMR.3507,68,特征和特性
UMR,I,UMR.3515,68,安全性分析
UMR,I,UMR.3516,71,螺旋桨关键件
UMR,I,UMR.3517,71,材料和制造方法
UMR,I,UMR.3521,72,可变距螺旋桨
UMR,I,UMR.3523,72,螺旋桨控制系统
UMR,I,UMR.3524,73,强度
UMR,I,UMR.3533,74,试验和检查总则
UMR,I,UMR.3534,74,检查、调整和修理
UMR,I,UMR.3535,74,离心载荷试验
UMR,I,UMR.3536,75,鸟撞
UMR,I,UMR.3537,75,疲劳极限和评估
UMR,I,UMR.3538,76,闪电
UMR,I,UMR.3539,76,持久试验
UMR,I,UMR.3540,78,功能试验
UMR,I,UMR.3541,78,超转和超扭
UMR,I,UMR.3542,79,螺旋桨控制系统部件
UMR,I,UMR.3543,79,螺旋桨液压部件
UMR,L,UMR.4100,80,总则
UMR,L,UMR.4105,80,链路性能
UMR,L,UMR.4110,81,链路监控
UMR,L,UMR.4115,81,链路安保
UMR,L,UMR.4120,81,持续适航文件
UMR,R,UMR.5000,82,总则
UMR,R,UMR.5110,82,系统、设备的功能和安装
UMR,R,UMR.5115,82,飞行机组界面
UMR,R,UMR.5120,83,飞行机组界面设备的安装和使用
UMR,R,UMR.5125,83,指示和显示
UMR,R,UMR.5130,85,通信
UMR,R,UMR.5135,85,数据记录、存储和读取
UMR,R,UMR.5140,85,最小飞行机组
UMR,R,UMR.5145,86,电磁干扰防护
UMR,R,UMR.5150,86,系统安保
UMR,R,UMR.5155,86,遥控台(站)的切换
UMR,R,UMR.5200,87,工作环境和人为因素
UMR,R,UMR.5205,87,电力供应
UMR,R,UMR.5210,87,防火
UMR,R,UMR.5215,88,电气搭接、闪电与静电防护
UMR,R,UMR.5220,88,危险防护和安全设备
UMR,R,UMR.5230,88,应急撤离
UMR,R,UMR.5300,88,运输、组装和存储
UMR,R,UMR.5305,89,遥控台(站)设备标记及标牌
UMR,R,UMR.5310,89,遥控台(站)使用手册
UMR,R,UMR.5315,89,持续适航文件
