standard,subpart,article,pdf_page,title_raw
UPL,A,UPL.2000,14,适用范围及定义
UPL,A,UPL.2010,15,可接受的符合性方法
UPL,B,UPL.2100,15,重量和重心
UPL,B,UPL.2105,16,性能数据
UPL,B,UPL.2110,16,最小安全速度
UPL,B,UPL.2115,17,起飞性能
UPL,B,UPL.2116,17,飞行形态转换要求
UPL,B,UPL.2120,18,爬升要求
UPL,B,UPL.2125,18,爬升性能数据
UPL,B,UPL.2130,18,着陆
UPL,B,UPL.2135,19,操纵性
UPL,B,UPL.2145,19,稳定性
UPL,B,UPL.2150,20,最小安全速度飞行特性及警告
UPL,B,UPL.2160,20,振动、抖振和高速特性
UPL,B,UPL.2165,21,在结冰条件下飞行所要求的性能和飞行特性
UPL,C,UPL.2200,21,结构设计包线
UPL,C,UPL.2205,22,系统和结构的相互影响
UPL,C,UPL.2210,22,结构设计载荷
UPL,C,UPL.2215,23,飞行载荷情况
UPL,C,UPL.2220,23,地面载荷和水载荷情况
UPL,C,UPL.2225,23,部件载荷情况
UPL,C,UPL.2230,24,限制和极限载荷
UPL,C,UPL.2235,24,结构强度
UPL,C,UPL.2240,25,结构耐久性
UPL,C,UPL.2245,25,气动弹性
UPL,C,UPL.2250,26,设计和构造原理
UPL,C,UPL.2255,26,结构保护
UPL,C,UPL.2260,27,材料和工艺
UPL,C,UPL.2265,27,特殊安全系数
UPL,C,UPL.2270,28,储存舱
UPL,D,UPL.2300,29,飞行操纵系统
UPL,D,UPL.2305,29,起落架系统
UPL,D,UPL.2311,30,鸟撞
UPL,D,UPL.2325,30,防火
UPL,D,UPL.2330,31,火区和邻近区域的防火
UPL,D,UPL.2335,31,闪电和静电防护
UPL,D,UPL.2350,31,外部货物载荷
UPL,E,UPL.2400,32,动力装置安装
UPL,E,UPL.2405,33,功率或者升力/推力控制系统
UPL,E,UPL.2410,34,动力装置安装危害性评估
UPL,E,UPL.2415,34,动力装置防冰
UPL,E,UPL.2425,34,动力装置工作特性
